_id,customer_id,timestamp,action,device,ip_address,location,browser_details,session_duration,page_views
67aaf01dfd431fecde4a0af1,888,2020-07-03T01:41:20,Profile Update,Tablet,50.40.97.255,"West Jeffrey, Oregon, American Samoa",Chrome 113.0.5678.0,153,8
67aaf01dfd431fecde4a0af2,885,2024-04-21T20:35:46,Logout,Desktop,186.21.171.49,"Moorefurt, Colorado, Lao People's Democratic Republic",Chrome 113.0.5678.0,309,15
67aaf01dfd431fecde4a0af3,525,2023-05-30T21:45:46,Login,Tablet,118.200.10.138,"Aguirreburgh, Nevada, Madagascar",Firefox 110.0,55,11
67aaf01dfd431fecde4a0af4,310,2023-01-18T21:35:01,Profile Update,Tablet,165.133.30.126,"East April, Wyoming, Congo",Edge 113.0,668,12
67aaf01dfd431fecde4a0af5,650,2023-11-06T08:29:26,Login,Tablet,8.182.86.184,"Bradport, Massachusetts, Macedonia",Safari 15.1,108,12
67aaf01dfd431fecde4a0af6,383,2021-12-12T03:38:03,Profile Update,Tablet,133.154.94.21,"Liutown, Hawaii, Rwanda",Safari 15.1,1113,10
67aaf01dfd431fecde4a0af7,371,2020-08-17T08:11:38,Logout,Tablet,148.74.92.163,"South Justin, New York, Fiji",Safari 15.1,89,14
67aaf01dfd431fecde4a0af8,506,2022-03-11T21:43:12,Logout,Mobile,87.44.77.26,"Bryanmouth, South Dakota, Uruguay",Safari 15.1,840,14
67aaf01dfd431fecde4a0af9,331,2020-06-01T22:14:54,Early Repayment,Mobile,211.228.168.167,"Jonesstad, Iowa, Hong Kong",Safari 15.1,526,1
67aaf01dfd431fecde4a0afa,380,2024-10-19T08:32:01,Login,Mobile,141.107.78.62,"West Josephfort, Connecticut, Slovenia",Firefox 110.0,623,18
67aaf01dfd431fecde4a0afb,595,2021-01-03T22:39:45,Profile Update,Mobile,201.178.130.246,"New Adam, Florida, Timor-Leste",Chrome 113.0.5678.0,254,14
67aaf01dfd431fecde4a0afc,333,2024-07-05T19:11:26,Login,Mobile,141.214.143.230,"Ryanville, Louisiana, French Polynesia",Firefox 110.0,727,12
67aaf01dfd431fecde4a0afd,808,2023-09-13T15:49:34,Profile Update,Tablet,184.85.142.170,"East Justinport, North Carolina, Cameroon",Chrome 113.0.5678.0,915,1
67aaf01dfd431fecde4a0afe,839,2024-09-18T19:42:26,Missed Payment,Desktop,95.252.107.77,"Port Vickiehaven, Illinois, Mauritania",Edge 113.0,501,15
67aaf01dfd431fecde4a0aff,982,2020-12-02T11:53:37,Profile Update,Desktop,219.155.232.82,"North Tinachester, Florida, Christmas Island",Firefox 110.0,548,19
67aaf01dfd431fecde4a0b00,998,2020-06-15T05:18:29,Login,Tablet,80.253.85.72,"East Tracy, Hawaii, Gibraltar",Firefox 110.0,878,2
67aaf01dfd431fecde4a0b01,922,2023-01-12T13:50:46,Logout,Desktop,46.9.121.4,"Millershire, California, Faroe Islands",Safari 15.1,489,10
67aaf01dfd431fecde4a0b02,543,2020-06-18T18:32:34,Early Repayment,Desktop,164.206.201.172,"Lake Eric, Michigan, Guatemala",Edge 113.0,987,16
67aaf01dfd431fecde4a0b03,793,2020-02-10T10:33:13,Missed Payment,Tablet,152.153.1.71,"New Richard, Virginia, Isle of Man",Edge 113.0,901,12
67aaf01dfd431fecde4a0b04,637,2024-03-08T17:53:17,Profile Update,Mobile,172.45.115.220,"Watkinsmouth, Alaska, Venezuela",Safari 15.1,509,15
67aaf01dfd431fecde4a0b05,759,2023-05-09T11:04:38,Login,Desktop,100.57.23.197,"Fisherview, Georgia, United States Minor Outlying Islands",Safari 15.1,1122,8
67aaf01dfd431fecde4a0b06,561,2024-03-27T21:39:14,Logout,Mobile,101.122.98.111,"New Raymond, Florida, Myanmar",Firefox 110.0,531,20
67aaf01dfd431fecde4a0b07,117,2024-06-24T09:20:43,Missed Payment,Tablet,118.15.52.255,"Lake Jillian, Nebraska, Ecuador",Edge 113.0,225,20
67aaf01dfd431fecde4a0b08,914,2020-09-13T19:17:58,Logout,Tablet,128.209.147.248,"East Savannah, Tennessee, United States Virgin Islands",Chrome 113.0.5678.0,873,20
67aaf01dfd431fecde4a0b09,962,2024-10-08T05:05:42,Early Repayment,Mobile,219.116.197.144,"Lake Anitaberg, Kentucky, Solomon Islands",Firefox 110.0,940,12
67aaf01dfd431fecde4a0b0a,145,2022-01-15T09:03:03,Early Repayment,Mobile,113.89.205.196,"East Kevintown, Idaho, France",Chrome 113.0.5678.0,335,1
67aaf01dfd431fecde4a0b0b,26,2024-06-08T04:20:00,Missed Payment,Mobile,124.141.209.126,"Anthonymouth, Oklahoma, Libyan Arab Jamahiriya",Chrome 113.0.5678.0,1194,10
67aaf01dfd431fecde4a0b0c,584,2024-06-28T14:49:46,Login,Tablet,213.226.237.38,"Lake Jeremy, North Dakota, Moldova",Safari 15.1,195,12
67aaf01dfd431fecde4a0b0d,464,2024-07-06T03:34:23,Early Repayment,Mobile,87.28.200.226,"Weissfurt, Wyoming, Somalia",Safari 15.1,446,1
67aaf01dfd431fecde4a0b0e,413,2023-03-26T15:50:04,Login,Tablet,24.98.128.214,"Alexborough, Arkansas, Wallis and Futuna",Firefox 110.0,241,4
67aaf01dfd431fecde4a0b0f,256,2020-01-02T06:38:35,Login,Mobile,25.61.193.212,"Russellborough, Rhode Island, Ukraine",Chrome 113.0.5678.0,651,18
67aaf01dfd431fecde4a0b10,619,2024-01-16T15:23:51,Missed Payment,Tablet,56.223.16.182,"West Mikehaven, Illinois, Macedonia",Chrome 113.0.5678.0,1130,12
67aaf01dfd431fecde4a0b11,674,2020-03-19T18:12:53,Early Repayment,Desktop,119.151.77.25,"North Lisahaven, South Carolina, Gambia",Safari 15.1,976,7
67aaf01dfd431fecde4a0b12,489,2023-04-21T15:27:32,Early Repayment,Mobile,193.68.237.1,"New Elizabeth, Oklahoma, Dominican Republic",Firefox 110.0,1097,15
67aaf01dfd431fecde4a0b13,478,2023-02-19T15:58:21,Login,Desktop,204.247.19.124,"Port Jennifer, Arkansas, Grenada",Firefox 110.0,967,19
67aaf01dfd431fecde4a0b14,745,2021-12-09T07:57:09,Missed Payment,Desktop,166.184.133.113,"Smithburgh, Idaho, Burundi",Chrome 113.0.5678.0,132,12
67aaf01dfd431fecde4a0b15,910,2021-06-21T15:38:06,Login,Desktop,125.151.56.108,"New Kimberly, Mississippi, Cyprus",Chrome 113.0.5678.0,806,17
67aaf01dfd431fecde4a0b16,936,2022-06-01T22:29:27,Missed Payment,Tablet,6.180.233.211,"Jimmystad, Maryland, Philippines",Chrome 113.0.5678.0,906,9
67aaf01dfd431fecde4a0b17,297,2024-05-14T15:22:25,Missed Payment,Desktop,173.76.55.46,"West Scottburgh, Arkansas, Saint Pierre and Miquelon",Chrome 113.0.5678.0,767,3
67aaf01dfd431fecde4a0b18,875,2024-10-09T22:52:07,Missed Payment,Desktop,104.226.38.128,"New Robert, Virginia, Cameroon",Safari 15.1,252,10
67aaf01dfd431fecde4a0b19,824,2023-10-10T13:49:00,Profile Update,Tablet,134.51.118.62,"West Nicholas, Mississippi, Ghana",Edge 113.0,1126,3
67aaf01dfd431fecde4a0b1a,768,2020-08-02T06:09:34,Early Repayment,Mobile,38.7.152.27,"East Melindastad, Colorado, San Marino",Chrome 113.0.5678.0,818,2
67aaf01dfd431fecde4a0b1b,977,2021-02-03T01:57:30,Profile Update,Mobile,218.187.68.160,"Port Sheila, Iowa, Montenegro",Firefox 110.0,812,7
67aaf01dfd431fecde4a0b1c,181,2021-02-08T17:21:56,Early Repayment,Tablet,80.29.46.33,"Nicholasville, New Jersey, Tajikistan",Safari 15.1,661,5
67aaf01dfd431fecde4a0b1d,616,2024-09-04T11:38:14,Missed Payment,Tablet,77.119.7.250,"Shaunburgh, Oklahoma, Liberia",Edge 113.0,576,8
67aaf01dfd431fecde4a0b1e,624,2023-05-29T06:09:22,Profile Update,Mobile,80.9.56.92,"Lake Ryanside, Louisiana, Morocco",Edge 113.0,591,8
67aaf01dfd431fecde4a0b1f,873,2021-07-08T02:40:14,Logout,Tablet,27.155.110.136,"West Theresaland, Alaska, Romania",Safari 15.1,310,18
67aaf01dfd431fecde4a0b20,265,2020-02-11T20:00:47,Early Repayment,Tablet,46.137.155.114,"North Jordanshire, Alaska, Egypt",Edge 113.0,1096,4
67aaf01dfd431fecde4a0b21,537,2024-01-24T06:47:34,Missed Payment,Mobile,174.206.126.196,"Baileyton, South Dakota, British Indian Ocean Territory (Chagos Archipelago)",Edge 113.0,161,11
67aaf01dfd431fecde4a0b22,90,2022-01-20T03:15:44,Login,Desktop,120.56.236.125,"West Robertshire, Kentucky, Netherlands Antilles",Firefox 110.0,337,3
67aaf01dfd431fecde4a0b23,579,2024-09-26T08:49:34,Login,Desktop,186.27.169.2,"South Timothyside, Ohio, Ethiopia",Safari 15.1,798,17
67aaf01dfd431fecde4a0b24,913,2024-10-16T03:58:59,Profile Update,Tablet,71.165.122.79,"Port Jesus, New Jersey, Bulgaria",Safari 15.1,268,16
