loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk
1,525,481952,12/09/2022,Closed,8,9.4,Medical,House,High
2,494,58764,19/08/2023,Defaulted,3,9.21,Business Expansion,None,Low
3,934,356749,04/01/2022,Approved,10,12.35,Home Renovation,House,Medium
4,352,348100,13/01/2023,Closed,9,4.85,Education,House,Low
5,650,114287,17/02/2020,Approved,9,4.39,Business Expansion,House,High
6,274,260273,23/04/2024,Closed,9,6.39,Medical,House,Low
7,714,176418,26/05/2024,Approved,3,10.78,Education,Car,Low
8,939,223287,23/07/2021,Rejected,7,6.85,Home Renovation,Car,High
9,955,428895,08/01/2022,Rejected,10,4.27,Home Renovation,None,High
10,535,199991,12/07/2021,Approved,6,9.37,Education,House,Low
11,345,429473,22/02/2023,Rejected,3,4.45,Business Expansion,House,Medium
12,497,411642,21/12/2022,Approved,2,11.1,Medical,Car,Low
13,29,174410,11/12/2020,Closed,9,6.84,Home Renovation,House,Medium
14,662,111955,04/02/2020,Approved,1,11.15,Medical,House,Low
15,183,116476,04/09/2022,Closed,1,7.67,Education,House,Medium
16,958,242399,11/04/2023,Approved,7,11.96,Business Expansion,House,High
17,280,163967,26/03/2021,Approved,9,8.38,Home Renovation,None,High
18,602,89452,20/12/2021,Defaulted,7,11.39,Education,House,Medium
19,461,298535,16/04/2022,Defaulted,5,12.42,Business Expansion,None,High
20,253,332239,03/03/2021,Closed,2,9.66,Home Renovation,None,Medium
21,701,27941,21/10/2023,Approved,10,9.7,Education,Car,Medium
22,749,286362,28/10/2021,Approved,5,6.82,Home Renovation,House,Low
23,663,201812,27/05/2023,Closed,2,5.2,Business Expansion,House,High
24,934,162640,01/09/2023,Rejected,5,10.4,Business Expansion,None,Low
25,830,289037,14/04/2022,Approved,9,6.31,Home Renovation,House,Low
26,432,274015,04/10/2024,Defaulted,7,7.54,Medical,Car,Medium
27,135,122005,05/04/2021,Closed,6,4.23,Business Expansion,None,High
28,140,144321,16/01/2020,Rejected,1,5.06,Home Renovation,House,High
29,920,308041,19/09/2023,Defaulted,8,4.25,Business Expansion,None,Low
30,329,239317,15/03/2021,Approved,3,5.21,Medical,None,High
31,509,428189,02/02/2021,Closed,8,4.12,Home Renovation,Car,High
32,409,291889,12/10/2023,Closed,4,3.78,Business Expansion,Car,Low
33,539,446126,25/05/2023,Closed,5,7.8,Medical,None,Low
34,379,458116,06/07/2024,Closed,7,9.07,Medical,Car,High
35,406,273681,31/01/2020,Closed,9,11.89,Home Renovation,Car,Low
36,166,169093,04/07/2023,Defaulted,8,8.87,Medical,Car,High
37,104,186720,23/09/2020,Approved,5,5.11,Home Renovation,Car,Medium
38,943,232097,04/12/2020,Defaulted,2,10.92,Home Renovation,Car,Medium
39,913,128715,05/04/2020,Closed,1,5.97,Home Renovation,None,High
40,856,209410,23/12/2020,Defaulted,7,10.9,Home Renovation,None,Low
41,783,327125,13/02/2023,Closed,10,9.34,Home Renovation,None,Low
42,436,480819,04/06/2021,Approved,4,7.84,Home Renovation,None,Medium
43,998,152226,16/04/2024,Rejected,2,3.69,Education,Car,Low
44,781,112595,01/01/2020,Closed,2,8.32,Education,Car,Medium
45,927,226247,27/06/2021,Defaulted,3,5.4,Business Expansion,Car,Low
46,544,331488,19/08/2021,Defaulted,1,8.84,Education,House,Low
47,574,13462,03/04/2022,Defaulted,1,7.93,Education,None,Medium
48,103,59018,27/10/2020,Defaulted,9,9.96,Home Renovation,Car,High
49,748,54637,20/06/2022,Defaulted,8,8.95,Business Expansion,Car,Medium
50,378,201059,08/12/2022,Closed,8,11.57,Education,House,High
51,700,148578,29/12/2022,Defaulted,8,8.25,Education,Car,Low
52,548,486876,10/04/2024,Defaulted,1,11.68,Business Expansion,House,Low
53,941,352113,13/06/2023,Defaulted,8,10.45,Education,Car,High
54,279,439398,11/03/2022,Closed,9,9.32,Medical,House,Medium
55,751,381861,22/02/2022,Rejected,8,3.74,Home Renovation,Car,Low
56,173,265064,27/08/2022,Closed,8,5.99,Medical,None,Low
57,154,291064,12/02/2022,Rejected,9,9.19,Home Renovation,House,High
58,592,33542,09/08/2023,Rejected,10,6.51,Business Expansion,House,Low
59,142,480718,09/09/2021,Defaulted,2,6.62,Medical,None,Low
60,168,435740,30/10/2022,Approved,3,7.09,Home Renovation,Car,Low
61,135,80581,26/02/2023,Closed,2,11.09,Business Expansion,Car,Medium
62,560,87333,24/08/2022,Closed,6,3.56,Education,Car,Medium
63,847,333825,07/11/2024,Approved,9,7,Business Expansion,Car,Medium
64,304,339000,01/05/2022,Defaulted,3,12.18,Education,None,Low
65,523,401897,24/01/2023,Rejected,4,6.71,Education,House,Low
66,604,440860,02/02/2020,Rejected,7,8.87,Medical,House,High
67,922,144058,10/02/2020,Defaulted,9,10.75,Home Renovation,House,Medium
68,192,368565,26/07/2020,Closed,4,12.25,Business Expansion,None,High
69,250,70961,07/10/2023,Closed,7,6.05,Education,None,High
70,803,422665,23/09/2024,Defaulted,1,8.71,Business Expansion,Car,High
71,214,356163,29/11/2019,Closed,1,9.73,Business Expansion,House,Medium
72,363,392762,04/02/2024,Rejected,1,7.83,Business Expansion,House,Low
73,299,30924,15/08/2024,Closed,7,10.19,Education,Car,Low
74,525,281533,24/08/2024,Closed,9,8.61,Medical,Car,Medium
75,528,330361,28/01/2021,Approved,7,5.64,Education,None,High
76,36,448203,24/06/2021,Rejected,10,12.5,Home Renovation,None,Low
77,98,394189,28/10/2023,Approved,7,8.43,Business Expansion,Car,Low
78,101,329642,19/04/2021,Closed,7,5.53,Medical,Car,Medium
79,563,42938,28/12/2021,Defaulted,7,6.75,Home Renovation,House,Low
80,102,388843,16/10/2020,Closed,7,9.32,Business Expansion,None,Low
81,584,74694,09/04/2023,Closed,10,7.68,Education,House,Medium
82,399,162408,07/05/2024,Defaulted,1,10.88,Home Renovation,Car,Medium
83,590,222842,21/09/2021,Rejected,3,4.85,Medical,House,High
84,219,14168,19/02/2024,Closed,3,5.05,Medical,House,High
85,699,99700,07/11/2020,Rejected,7,4.45,Education,House,High
86,783,198479,11/01/2024,Approved,4,11.44,Education,None,Low
87,234,384255,18/06/2024,Closed,3,5.23,Home Renovation,Car,Low
88,611,303059,24/03/2024,Approved,3,12.35,Education,House,High
89,186,285987,10/08/2023,Closed,8,11.22,Medical,House,High
90,458,199008,01/05/2021,Defaulted,3,3.84,Home Renovation,Car,High
91,612,292808,25/06/2023,Defaulted,7,4.31,Business Expansion,Car,High
92,860,356258,01/04/2022,Defaulted,7,3.86,Medical,Car,Low
93,719,385651,05/11/2023,Defaulted,6,5.02,Business Expansion,None,Medium
94,918,242771,23/05/2022,Closed,4,4.24,Education,House,Low
95,611,226879,25/07/2022,Closed,7,10.86,Medical,House,Medium
96,957,371849,28/07/2024,Closed,6,11.03,Education,None,Medium
97,27,319264,20/07/2024,Closed,10,10.53,Home Renovation,House,High
98,674,298754,21/01/2021,Rejected,2,5.52,Home Renovation,Car,High
99,229,119457,13/03/2023,Approved,3,4.83,Medical,House,Low
100,912,266693,15/07/2024,Rejected,2,11.57,Medical,Car,Medium
101,751,187100,08/07/2020,Closed,7,10.24,Medical,House,Medium
102,52,129738,12/08/2024,Rejected,7,9.54,Home Renovation,House,Low
103,868,159138,21/03/2024,Approved,10,10.5,Business Expansion,None,High
104,571,259701,30/05/2023,Closed,2,8.98,Home Renovation,House,Medium
105,452,218522,21/04/2021,Approved,3,7.08,Education,Car,Low
106,226,7158,11/03/2020,Defaulted,7,4.98,Education,House,High
107,69,370278,25/10/2022,Defaulted,10,11.84,Medical,Car,Medium
108,921,255874,04/06/2023,Approved,2,5.83,Medical,Car,High
109,182,185073,17/02/2022,Rejected,7,7.75,Education,None,Low
110,843,11761,23/06/2020,Closed,1,6.21,Business Expansion,None,Medium
111,847,429475,21/11/2023,Defaulted,4,8.1,Home Renovation,Car,Medium
112,246,448346,29/01/2022,Defaulted,2,7.46,Business Expansion,Car,High
113,573,65715,09/12/2022,Approved,2,6.13,Home Renovation,Car,High
114,555,184956,31/03/2023,Rejected,7,10.04,Business Expansion,None,High
115,213,30145,30/10/2022,Defaulted,8,9.29,Education,House,High
116,617,329295,16/09/2020,Defaulted,10,9.54,Business Expansion,None,High
